Capital,Time
120971.74938138615,2025-03-30 14:00:00+00:00
119971.74938138615,2025-03-31 10:00:00+00:00
118971.74938138615,2025-04-02 02:00:00+00:00
119971.74938138615,2025-04-05 00:45:00+00:00
120971.74938138615,2025-04-09 01:00:00+00:00
121971.74938138615,2025-04-12 16:15:00+00:00
122971.74938138615,2025-04-13 13:45:00+00:00
121971.74938138615,2025-04-14 15:30:00+00:00
122600.45127192709,2025-04-15 05:30:00+00:00
121600.45127192709,2025-04-15 10:30:00+00:00
120600.45127192709,2025-04-16 17:45:00+00:00
121614.80151468344,2025-04-17 03:15:00+00:00
120614.80151468344,2025-04-17 05:15:00+00:00
121614.80151468344,2025-04-21 04:45:00+00:00
122614.80151468344,2025-04-22 13:00:00+00:00
123614.80151468344,2025-04-24 04:00:00+00:00
124614.80151468344,2025-04-25 10:15:00+00:00
123614.80151468344,2025-04-25 17:30:00+00:00
122614.80151468344,2025-04-29 21:00:00+00:00
123614.80151468344,2025-05-02 12:30:00+00:00
124614.80151468344,2025-05-03 17:00:00+00:00
123614.80151468344,2025-05-04 17:15:00+00:00
122614.80151468344,2025-05-04 20:15:00+00:00
121614.80151468344,2025-05-05 10:45:00+00:00
120614.80151468344,2025-05-06 07:00:00+00:00
121614.80151468344,2025-05-06 11:45:00+00:00
122614.80151468344,2025-05-07 07:45:00+00:00
123614.80151468344,2025-05-09 07:15:00+00:00
124614.80151468344,2025-05-10 17:45:00+00:00
125614.80151468344,2025-05-15 05:45:00+00:00
126614.80151468344,2025-05-16 22:15:00+00:00
127614.80151468344,2025-05-21 16:15:00+00:00
126614.80151468344,2025-05-22 22:30:00+00:00
127614.80151468344,2025-05-25 00:45:00+00:00
128614.80151468344,2025-05-25 09:30:00+00:00
129614.80151468344,2025-05-27 13:00:00+00:00
130614.80151468344,2025-05-28 10:00:00+00:00
131614.80151468344,2025-05-30 22:30:00+00:00
130614.80151468344,2025-06-01 04:45:00+00:00
129614.80151468344,2025-06-01 14:15:00+00:00
128614.80151468344,2025-06-02 02:00:00+00:00
129036.78606168134,2025-06-02 15:45:00+00:00
130036.78606168134,2025-06-02 21:00:00+00:00
129036.78606168134,2025-06-03 20:15:00+00:00
130036.78606168134,2025-06-05 16:15:00+00:00
131036.78606168134,2025-06-10 11:15:00+00:00
132036.78606168134,2025-06-12 20:45:00+00:00
131036.78606168134,2025-06-15 18:00:00+00:00
132036.78606168134,2025-06-17 14:30:00+00:00
131036.78606168134,2025-06-20 08:00:00+00:00
130036.78606168134,2025-06-23 12:30:00+00:00
131036.78606168134,2025-06-23 20:15:00+00:00
130036.78606168134,2025-06-24 18:15:00+00:00
129036.78606168134,2025-06-25 14:15:00+00:00
130036.78606168134,2025-06-26 13:45:00+00:00
129036.78606168134,2025-06-27 12:45:00+00:00
128036.78606168134,2025-06-27 16:30:00+00:00
127036.78606168134,2025-06-28 06:00:00+00:00
